Age,Gender,Country,Formal_Education,Position,Years_Coding,Salary
23.0,Male,France,Master’s degree,Software Engineer,2.0,34999.5
42.0,Male,India,Professional degree,Software Engineer,0.0,6249.5
42.0,Male,Australia,Master’s degree,Other,2.0,274999.5
52.0,Male,France,Master’s degree,Data Scientist,20.0,64999.5
23.0,Male,India,Master’s degree,Data Scientist,5.0,12499.5
23.0,Female,United States of America,Bachelor’s degree,Data Scientist,5.0,84999.5
32.0,Male,Germany,Master’s degree,Statistician,10.0,2499.5
32.0,Male,Germany,Bachelor’s degree,Data Scientist,10.0,74999.5
32.0,Male,United States of America,Master’s degree,Product/Project Manager,5.0,94999.5
52.0,Female,United States of America,Master’s degree,Data Analyst,20.0,137499.5
27.0,Male,France,Doctoral degree,Research Scientist,10.0,44999.5
23.0,Female,Ireland,Master’s degree,Data Analyst,2.0,22499.5
37.0,Male,United States of America,Bachelor’s degree,Other,10.0,137499.5
42.0,Male,Russia,Master’s degree,Software Engineer,2.0,12499.5
27.0,Male,Greece,Master’s degree,Research Scientist,10.0,17499.5
32.0,Male,Greece,Master’s degree,Software Engineer,2.0,22499.5
37.0,Male,India,Master’s degree,Software Engineer,20.0,112499.5
32.0,Male,Japan,Master’s degree,Software Engineer,2.0,94999.5
32.0,Male,Japan,Master’s degree,Data Scientist,10.0,8749.5
32.0,Female,United States of America,Master’s degree,Research Scientist,10.0,174999.5
23.0,Male,Brazil,Bachelor’s degree,Data Scientist,2.0,12499.5
27.0,Male,India,Bachelor’s degree,Other,5.0,8749.5
37.0,Male,South Korea,Master’s degree,Data Analyst,2.0,12499.5
27.0,Male,Brazil,Master’s degree,Data Analyst,5.0,27499.5
32.0,Female,United States of America,Doctoral degree,Product/Project Manager,20.0,94999.5
27.0,Male,India,Bachelor’s degree,Software Engineer,2.0,6249.5
37.0,Male,Belarus,Master’s degree,Software Engineer,2.0,3499.5
27.0,Male,India,Bachelor’s degree,DBA/Database Engineer,5.0,2499.5
23.0,Male,India,Bachelor’s degree,Software Engineer,2.0,12499.5
27.0,Male,India,Master’s degree,Data Engineer,5.0,12499.5
37.0,Female,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,10.0,44999.5
32.0,Male,Sweden,Master’s degree,Data Analyst,2.0,44999.5
37.0,Male,United States of America,Bachelor’s degree,Data Scientist,10.0,174999.5
27.0,Male,India,Bachelor’s degree,Business Analyst,5.0,3499.5
32.0,Male,Germany,Master’s degree,Data Engineer,2.0,84999.5
27.0,Male,Germany,Bachelor’s degree,Data Scientist,5.0,64999.5
47.0,Female,India,Doctoral degree,Data Analyst,5.0,2499.5
32.0,Male,United States of America,Master’s degree,Other,5.0,174999.5
37.0,Male,Mexico,Master’s degree,Data Scientist,2.0,44999.5
32.0,Male,United States of America,Bachelor’s degree,Data Analyst,5.0,112499.5
23.0,Male,France,Master’s degree,Data Scientist,2.0,44999.5
37.0,Prefer to self-describe,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,2.0,44999.5
42.0,Male,Other,Master’s degree,Other,5.0,17499.5
27.0,Prefer not to say,United States of America,Master’s degree,Data Scientist,10.0,224999.5
