,age,gender,country,education,job_title,years_coding,salary,Data_Science_Course,Languages
2,30-34,Man,United States of America,Master’s degree,Data Engineer,5-10 years,"100,000-124,999",DataCamp;Udemy,R;SQL;DataCamp;Udemy
3,35-39,Man,Argentina,Bachelor’s degree,Software Engineer,10-20 years,"15,000-19,999",edX;Udacity;Udemy,Java;Javascript;Bash;edX;Udacity;Udemy
4,30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,"125,000-149,999",DataCamp;LinkedIn Learning;University Courses (resulting in a university degree),SQL;Bash;DataCamp;LinkedIn Learning;University Courses (resulting in a university degree)
9,35-39,Man,Germany,Doctoral degree,Data Scientist,5-10 years,"70,000-79,999",Fast.ai;Udacity;Udemy;LinkedIn Learning,SQL;Bash;Fast.ai;Udacity;Udemy;LinkedIn Learning
12,35-39,Man,United States of America,Doctoral degree,Research Scientist,1-2 years,"30,000-39,999",None,R;None
14,30-34,Man,Canada,Bachelor’s degree,Data Engineer,< 1 years,"90,000-99,999",Kaggle Learn Courses;DataCamp;Udemy,SQL;MATLAB;Kaggle Learn Courses;DataCamp;Udemy
15,30-34,Man,Switzerland,Bachelor’s degree,Other,< 1 years,"70,000-79,999",Kaggle Learn Courses;DataCamp;Fast.ai,R;Kaggle Learn Courses;DataCamp;Fast.ai
21,22-24,Woman,India,Doctoral degree,Statistician,3-5 years,"1,000-1,999",University Courses (resulting in a university degree),R;SQL;C++;University Courses (resulting in a university degree)
22,30-34,Man,Russia,Bachelor’s degree,Data Scientist,< 1 years,$0-999,Kaggle Learn Courses;Udemy,SQL;Kaggle Learn Courses;Udemy
23,55-59,Woman,Canada,Master’s degree,Product/Project Manager,1-2 years,"125,000-149,999",Kaggle Learn Courses;LinkedIn Learning,Kaggle Learn Courses;LinkedIn Learning
24,35-39,Man,South Africa,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,"10,000-14,999",Kaggle Learn Courses;DataCamp;Udemy,SQL;Kaggle Learn Courses;DataCamp;Udemy
25,50-54,Man,United States of America,Master’s degree,Software Engineer,20+ years,"150,000-199,999","Cloud-certification programs (direct from AWS, Azure, GCP, or similar)","C;C++;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
29,30-34,Man,Netherlands,Bachelor’s degree,Software Engineer,10-20 years,"60,000-69,999",Kaggle Learn Courses;Fast.ai;University Courses (resulting in a university degree),Kaggle Learn Courses;Fast.ai;University Courses (resulting in a university degree)
30,25-29,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,"10,000-14,999",University Courses (resulting in a university degree),Bash;University Courses (resulting in a university degree)
31,35-39,Woman,Pakistan,Master’s degree,Data Analyst,5-10 years,"15,000-19,999",Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning;University Courses (resulting in a university degree),R;SQL;Javascript;Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
33,30-34,Man,Other,Doctoral degree,Machine Learning Engineer,10-20 years,"10,000-14,999",None,Javascript;None
35,50-54,Woman,United States of America,Bachelor’s degree,Other,I have never written code,"125,000-149,999",,
36,35-39,Man,India,Bachelor’s degree,Other,I have never written code,"15,000-19,999",,
38,22-24,Man,Indonesia,Master’s degree,Data Scientist,3-5 years,"4,000-4,999",Udemy;LinkedIn Learning;University Courses (resulting in a university degree),R;SQL;Java;Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
40,18-21,Man,India,Bachelor’s degree,Data Scientist,3-5 years,"> $500,000",edX;Kaggle Learn Courses;DataCamp;Udemy;LinkedIn Learning;University Courses (resulting in a university degree),C;C++;edX;Kaggle Learn Courses;DataCamp;Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
42,25-29,Man,Indonesia,Doctoral degree,Data Analyst,5-10 years,$0-999,University Courses (resulting in a university degree),C++;University Courses (resulting in a university degree)
43,35-39,Man,India,Master’s degree,Other,10-20 years,"10,000-14,999",,SQL;C;C++;Java;MATLAB;
45,25-29,Woman,Belarus,Master’s degree,Machine Learning Engineer,1-2 years,"1,000-1,999",,
46,25-29,Man,India,Doctoral degree,Other,3-5 years,$0-999,,C;
48,22-24,Man,Other,Bachelor’s degree,Software Engineer,1-2 years,$0-999,edX;Kaggle Learn Courses;Udacity;Udemy;LinkedIn Learning,SQL;Java;Javascript;edX;Kaggle Learn Courses;Udacity;Udemy;LinkedIn Learning
50,30-34,Man,Ukraine,Master’s degree,Data Scientist,3-5 years,"60,000-69,999",edX;Fast.ai,SQL;edX;Fast.ai
52,35-39,Man,United States of America,Master’s degree,Other,< 1 years,"125,000-149,999",Kaggle Learn Courses,None;Kaggle Learn Courses
53,25-29,Man,United States of America,Master’s degree,Software Engineer,10-20 years,"300,000-500,000",None,SQL;C;C++;Bash;None
56,35-39,Man,Saudi Arabia,Bachelor’s degree,Other,I have never written code,"40,000-49,999",,
