,age,gender,country,education,job_title,years_coding,salary,Data_Science_Course,Languages
1,22-24,Male,France,Master’s degree,Software Engineer,1-2 years,"30,000-39,999",Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;R;SQL;Java;Javascript;MATLAB;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy
2,40-44,Male,India,Professional degree,Software Engineer,I have never written code,"5,000-7,499",Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy,Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy
4,40-44,Male,Australia,Master’s degree,Other,1-2 years,"250,000-299,999",Coursera;edX;DataCamp;University Courses (resulting in a university degree),Python;R;SQL;Bash;Coursera;edX;DataCamp;University Courses (resulting in a university degree)
5,22-24,Male,India,Bachelor’s degree,Other,< 1 years,"4,000-4,999",,Python;SQL;
6,50-54,Male,France,Master’s degree,Data Scientist,20+ years,"60,000-69,999",None,Python;R;None
7,22-24,Male,India,Master’s degree,Data Scientist,3-5 years,"10,000-14,999",Udacity;Coursera;edX;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;R;Bash;Udacity;Coursera;edX;Kaggle Courses (i.e. Kaggle Learn);Udemy
8,22-24,Female,United States of America,Bachelor’s degree,Data Scientist,3-5 years,"80,000-89,999",Udemy;University Courses (resulting in a university degree),Python;Udemy;University Courses (resulting in a university degree)
10,55-59,Male,Netherlands,Master’s degree,Other,5-10 years,$0-999,Coursera,Python;SQL;Coursera
12,30-34,Male,Germany,Master’s degree,Statistician,5-10 years,"2,000-2,999",Coursera,R;Coursera
13,30-34,Male,Germany,Bachelor’s degree,Data Scientist,5-10 years,"70,000-79,999",edX,Python;R;edX
14,30-34,Male,United States of America,Master’s degree,Product/Project Manager,3-5 years,"90,000-99,999",Udacity;Coursera;DataQuest;Kaggle Courses (i.e. Kaggle Learn);Fast.ai;Udemy;University Courses (resulting in a university degree),Python;Udacity;Coursera;DataQuest;Kaggle Courses (i.e. Kaggle Learn);Fast.ai;Udemy;University Courses (resulting in a university degree)
16,50-54,Female,United States of America,Master’s degree,Data Analyst,10-20 years,"125,000-149,999",Coursera;edX;Udemy,Python;R;SQL;Coursera;edX;Udemy
17,18-21,Male,Australia,Bachelor’s degree,Software Engineer,1-2 years,$0-999,Coursera;University Courses (resulting in a university degree),Python;R;SQL;C;Coursera;University Courses (resulting in a university degree)
19,35-39,Male,France,Master’s degree,Product/Project Manager,3-5 years,$0-999,DataCamp;DataQuest;Kaggle Courses (i.e. Kaggle Learn),Python;DataCamp;DataQuest;Kaggle Courses (i.e. Kaggle Learn)
20,25-29,Male,France,Doctoral degree,Research Scientist,5-10 years,"40,000-49,999",Udacity;Coursera,Python;R;Udacity;Coursera
21,22-24,Female,Ireland,Master’s degree,Data Analyst,1-2 years,"20,000-24,999",DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;SQL;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy
22,35-39,Male,United States of America,Bachelor’s degree,Other,5-10 years,"125,000-149,999",Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn),Python;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn)
